iteration,time,total_number_bins,bin1_utilization,bin2_utilization,bin3_utilization,bin4_utilization,bin5_utilization,bin6_utilization,bin7_utilization,bin8_utilization,bin9_utilization,bin10_utilization,bin11_utilization
0.0,0.0,11.0,134.35999999999999,131.48,119.055,113.695,131.41,122.995,124.91000000000001,113.835,111.65,122.18500000000002,65.52
1.0,0.0010013580322265625,10.0,134.3,120.81,127.735,141.865,133.725,121.68,110.615,122.86999999999999,114.22000000000001,33.82,
